"PSComputerName","State","Status","Started","StartMode","Name","DisplayName","PathName","ExitCode","AcceptPause","AcceptStop","Caption","CreationClassName","Description","DesktopInteract","ErrorControl","InstallDate","ServiceType"
"DELLWIN10","Stopped","OK","False","Manual","NdisImPlatform","Microsoft Network Adapter Multiplexor Protocol","C:\Windows\system32\drivers\NdisImPlatform.sys","1077","False","False","Microsoft Network Adapter Multiplexor Protocol","Win32_SystemDriver","Microsoft Network Adapter Multiplexor Protocol","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","NdisTapi","Remote Access NDIS TAPI Driver","C:\Windows\system32\DRIVERS\ndistapi.sys","0","False","True","Remote Access NDIS TAPI Driver","Win32_SystemDriver","Remote Access NDIS TAPI Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","Ndisuio","NDIS Usermode I/O Protocol","C:\Windows\system32\drivers\ndisuio.sys","0","False","True","NDIS Usermode I/O Protocol","Win32_SystemDriver","NDIS Usermode I/O Protocol","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","NdisVirtualBus","Microsoft Virtual Network Adapter Enumerator","C:\Windows\system32\drivers\NdisVirtualBus.sys","0","False","True","Microsoft Virtual Network Adapter Enumerator","Win32_SystemDriver","Microsoft Virtual Network Adapter Enumerator","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","NdisWan","Remote Access NDIS WAN Driver","C:\Windows\system32\drivers\ndiswan.sys","0","False","True","Remote Access NDIS WAN Driver","Win32_SystemDriver","Remote Access NDIS WAN Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","ndiswanlegacy","Remote Access LEGACY NDIS WAN Driver","C:\Windows\system32\DRIVERS\ndiswan.sys","1077","False","False","Remote Access LEGACY NDIS WAN Driver","Win32_SystemDriver","Remote Access LEGACY NDIS WAN Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","ndproxy","NDIS Proxy Driver","C:\Windows\system32\DRIVERS\NDProxy.sys","0","False","True","NDIS Proxy Driver","Win32_SystemDriver","NDIS Proxy Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","Ndu","Windows Network Data Usage Monitoring Driver","C:\Windows\system32\drivers\Ndu.sys","0","False","True","Windows Network Data Usage Monitoring Driver","Win32_SystemDriver","Windows Network Data Usage Monitoring Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","NetAdapterCx","Network Adapter Wdf Class Extension Library","C:\Windows\system32\drivers\NetAdapterCx.sys","1077","False","False","Network Adapter Wdf Class Extension Library","Win32_SystemDriver","Network Adapter Wdf Class Extension Library","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","System","NetBIOS","NetBIOS Interface","C:\Windows\system32\drivers\netbios.sys","0","False","True","NetBIOS Interface","Win32_SystemDriver","NetBIOS Interface","False","Normal",,"File System Driver"
"DELLWIN10","Running","OK","True","System","NetBT","NetBT","C:\Windows\system32\DRIVERS\netbt.sys","0","False","True","NetBT","Win32_SystemDriver","NetBT","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","netvsc","netvsc","C:\Windows\system32\drivers\netvsc.sys","1077","False","False","netvsc","Win32_SystemDriver","netvsc","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","System","npcap","Npcap Packet Driver (NPCAP)","C:\Windows\system32\DRIVERS\npcap.sys","0","False","True","Npcap Packet Driver (NPCAP)","Win32_SystemDriver","Npcap Packet Driver (NPCAP)","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","NPF","NetGroup Packet Filter Driver","C:\Windows\system32\drivers\npf.sys","0","False","True","NetGroup Packet Filter Driver","Win32_SystemDriver","NetGroup Packet Filter Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","System","Npfs","Npfs","C:\Windows\system32\drivers\Npfs.sys","0","False","True","Npfs","Win32_SystemDriver","Npfs","False","Normal",,"File System Driver"
"DELLWIN10","Running","OK","True","System","npsvctrig","Named pipe service trigger provider","C:\Windows\system32\drivers\npsvctrig.sys","0","False","True","Named pipe service trigger provider","Win32_SystemDriver","Named pipe service trigger provider","False","Severe",,"Kernel Driver"
"DELLWIN10","Running","OK","True","System","nsiproxy","NSI Proxy Service Driver","C:\Windows\system32\drivers\nsiproxy.sys","0","False","True","NSI Proxy Service Driver","Win32_SystemDriver","NSI Proxy Service Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","Ntfs","Ntfs","C:\Windows\system32\drivers\Ntfs.sys","0","False","True","Ntfs","Win32_SystemDriver","Ntfs","False","Normal",,"File System Driver"
"DELLWIN10","Running","OK","True","System","Null","Null","C:\Windows\system32\drivers\Null.sys","0","False","True","Null","Win32_SystemDriver","Null","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","nvdimm","Microsoft NVDIMM device driver","C:\Windows\system32\drivers\nvdimm.sys","1077","False","False","Microsoft NVDIMM device driver","Win32_SystemDriver","Microsoft NVDIMM device driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","nvraid","nvraid","C:\Windows\system32\drivers\nvraid.sys","1077","False","False","nvraid","Win32_SystemDriver","nvraid","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","nvstor","nvstor","C:\Windows\system32\drivers\nvstor.sys","1077","False","False","nvstor","Win32_SystemDriver","nvstor","False","Critical",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","Parport","Parallel port driver","C:\Windows\system32\drivers\parport.sys","0","False","True","Parallel port driver","Win32_SystemDriver","Parallel port driver","False","Ignore",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","partmgr","Partition driver","C:\Windows\system32\drivers\partmgr.sys","0","False","True","Partition driver","Win32_SystemDriver","Partition driver","False","Critical",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","pci","PCI Bus Driver","C:\Windows\system32\drivers\pci.sys","0","False","True","PCI Bus Driver","Win32_SystemDriver","PCI Bus Driver","False","Critical",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","pciide","pciide","C:\Windows\system32\drivers\pciide.sys","1077","False","False","pciide","Win32_SystemDriver","pciide","False","Critical",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","pcmcia","pcmcia","C:\Windows\system32\drivers\pcmcia.sys","1077","False","False","pcmcia","Win32_SystemDriver","pcmcia","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","pcw","Performance Counters for Windows Driver","C:\Windows\system32\drivers\pcw.sys","0","False","True","Performance Counters for Windows Driver","Win32_SystemDriver","Performance Counters for Windows Driver","False","Normal",,"Kernel Driver"
