"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"DELLWIN10","Adobe Color Common Settings","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeColorCommonSetAll\","AdobeColorCommonSetAll.msi","C:\Windows\Installer\12f727.msi",,,,,,"0","Adobe Color Common Settings","{DADD7B8A-BCB0-44F5-967A-ECB6B4F2ECD9}"
"DELLWIN10","PuTTY","Simon Tatham","0.67.0.0","20181005",,,"C:\Users\Dan\Desktop\","putty-0.67-installer.msi","C:\Windows\Installer\16da53b.msi",,,,,,"1033","PuTTY","{ED9EF59B-0799-428E-823D-6D2B7B4FE2E0}"
"DELLWIN10","Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026","Microsoft Corporation","14.0.23026","20181006",,,"C:\ProgramData\Package Cache\{BE960C1C-7BAD-3DE6-8B1A-2616FE532845}v14.0.23026\packages\vcRuntimeAdditional_x86\","vc_runtimeAdditional_x86.msi","C:\Windows\Installer\4f1818c.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026","{BE960C1C-7BAD-3DE6-8B1A-2616FE532845}"
"DELLWIN10","Adobe Setup","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\","WinBootstrapper.msi","C:\Windows\Installer\12f6ff.msi",,,,,,"0","Adobe Setup","{FF11004C-F42A-4A31-9BCF-7F5C8FDBE53C}"
"DELLWIN10","Powershell CodeManager","Denniver Reining","6.00.071","20181021",,"C:\APPDIR\","C:\Users\Dan\Downloads\","Powershell_CodeManager_Setup_v6.00.msi","C:\Windows\Installer\819ad.msi",,,,"http://bytecookie.wordpress.com",,"1033","Powershell CodeManager","{99F90AFC-C19C-4C60-A406-7BEC6C932620}"
"DELLWIN10","Adobe Help Viewer CS3","Adobe Systems Incorporated","1","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeHelpViewerAll\","AdobeHelpViewerAll.msi","C:\Windows\Installer\12f754.msi",,,,,,"0","Adobe Help Viewer CS3","{04AF207D-9A77-465A-8B76-991F6AB66245}"
"DELLWIN10","Adobe CMaps","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeCMapsAll\","AdobeCMapsAll.msi","C:\Windows\Installer\12f718.msi",,,,,,"0","Adobe CMaps","{A2B242BD-FF8D-4840-9DAA-9170EABEC59C}"
"DELLWIN10","Adobe Fonts All","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeFontsAll\","AdobeFontsAll.msi","C:\Windows\Installer\12f74f.msi",,,,,,"0","Adobe Fonts All","{6ABE0BEE-D572-4FE8-B434-9E72A289431B}"
"DELLWIN10","Update for Windows 10 for x64-based Systems (KB4023057)","Microsoft Corporation","2.52.0.0","20181207",,,"C:\Windows\SoftwareDistribution\Download\22327298ac64eb4106ed9a45a910dcb4\img\","windows10.0-kb4023057-x64.msi","C:\Windows\Installer\87101.msi",,"http://support.microsoft.com/kb/4023057",,"http://support.microsoft.com/kb/4023057",,"0","Update for Windows 10 for x64-based Systems (KB4023057)","{9CBA860F-7437-4A75-941C-8EF559F2D145}"
"DELLWIN10","Java Auto Updater","Oracle Corporation","2.8.144.1","20181006",,,"C:\Users\Dan\AppData\LocalLow\Oracle\Java\jre1.8.0_144_x64\","au.msi","C:\Windows\Installer\2a9b0a.msi",,,,,,"1033","Java Auto Updater","{4A03706F-666A-4037-7777-5F2748764D10}"
