"ComputerName","Status","Name","DisplayName","RequiredServices","StartType","CanPauseAndContinue","CanShutdown","CanStop","ServiceHandle","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","Running","lmhosts","TCP/IP NetBIOS Helper","Afd","Manual","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","LSM","Local Session Manager","DcomLaunch RpcSs RpcEptMapper","Automatic","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","LxpSvc","Language Experience Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","MapsBroker","Downloaded Maps Manager","rpcss","Automatic","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","RPCSS","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","mpssvc","Windows Defender Firewall","mpsdrv bfe","Automatic","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","MSDTC","Distributed Transaction Coordinator","RPCSS SamSS","Manual","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","MSiSCSI","Microsoft iSCSI Initiator Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","msiserver","Windows Installer","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
