Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
556,TCP,,"Remotefs, RFS, rfs_server",Official,Well-Known,
560,,UDP,"rmonitor, Remote Monitor",Official,Well-Known,
561,,UDP,monitor,Official,Well-Known,
563,TCP,UDP,NNTP over TLS/SSL (NNTPS),Official,Well-Known,
564,TCP,,9P (Plan 9),Unofficial,Well-Known,
585,N/A,N/A,De-registered[when?] (with recommendation to use port 993 instead),Official,Well-Known,
585,TCP,?,Legacy use of Internet Message Access Protocol over TLS/SSL (IMAPS),Unofficial,Well-Known,
587,TCP,,email message submission (SMTP),Official,Well-Known,
591,TCP,,"FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)",Official,Well-Known,
593,TCP,UDP,"HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server",Official,Well-Known,
601,TCP,,Reliable Syslog Service - used for system logging,Official,Well-Known,
604,TCP,,"TUNNEL profile, a protocol for BEEP peers to form an application layer tunnel",Official,Well-Known,
623,,UDP,ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol,Official,Well-Known,
625,TCP,,Open Directory Proxy (ODProxy),Unofficial,Well-Known,
631,TCP,UDP,Internet Printing Protocol (IPP),Official,Well-Known,
631,TCP,UDP,Common Unix Printing System (CUPS) administration console (extension to IPP),Unofficial,Well-Known,
635,TCP,UDP,RLZ DBase,Official,Well-Known,
636,TCP,UDP,Lightweight Directory Access Protocol over TLS/SSL (LDAPS),Official,Well-Known,
639,TCP,UDP,"MSDP, Multicast Source Discovery Protocol",Official,Well-Known,
641,TCP,UDP,"SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic",Official,Well-Known,
643,TCP,UDP,SANity,Official,Well-Known,
646,TCP,UDP,"Label Distribution Protocol (LDP), a routing protocol used in MPLS networks",Official,Well-Known,
647,TCP,,DHCP Failover protocol,Official,Well-Known,
648,TCP,,Registry Registrar Protocol (RRP),Official,Well-Known,
651,TCP,UDP,IEEE-MMS,Official,Well-Known,
653,TCP,UDP,"SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic",Official,Well-Known,
654,TCP,,Media Management System (MMS) Media Management Protocol (MMP),Official,Well-Known,
655,TCP,UDP,Tinc VPN daemon,Official,Well-Known,
657,TCP,UDP,"IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM) and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration",Official,Well-Known,
660,TCP,,"Mac OS X Server administration, version 10.4 and earlier",Official,Well-Known,
666,TCP,UDP,"Doom, first online first-person shooter",Official,Well-Known,
666,TCP,,"airserv-ng, aircrack-ng's server for remote-controlling wireless devices",Unofficial,Well-Known,
674,TCP,,Application Configuration Access Protocol (ACAP),Official,Well-Known,
688,TCP,UDP,REALM-RUSD (ApplianceWare Server Appliance Management Protocol),Official,Well-Known,
690,TCP,UDP,Velneo Application Transfer Protocol (VATP),Official,Well-Known,
691,TCP,,MS Exchange Routing,Official,Well-Known,
694,TCP,UDP,Linux-HA high-availability heartbeat,Official,Well-Known,
695,TCP,,IEEE Media Management System over SSL (IEEE-MMS-SSL),Official,Well-Known,
698,,UDP,Optimized Link State Routing (OLSR),Official,Well-Known,
700,TCP,,"Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)",Official,Well-Known,
701,TCP,,"Link Management Protocol (LMP), a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links",Official,Well-Known,
702,TCP,,IRIS (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol) (RFC 3983),Official,Well-Known,
706,TCP,,Secure Internet Live Conferencing (SILC),Official,Well-Known,
711,TCP,,Cisco Tag Distribution Protocol-being replaced by the MPLS Label Distribution Protocol,Official,Well-Known,
712,TCP,,Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684),Official,Well-Known,
749,TCP,UDP,Kerberos (protocol) administration,Official,Well-Known,
750,,UDP,"kerberos-iv, Kerberos version IV",Official,Well-Known,
751,TCP,UDP,"kerberos_master, Kerberos authentication",Unofficial,Well-Known,
752,,UDP,"passwd_server, Kerberos password (kpasswd) server",Unofficial,Well-Known,
753,TCP,,Reverse Routing Header (RRH),Official,Well-Known,
753,,UDP,Reverse Routing Header (RRH),Official,Well-Known,
753,,UDP,"userreg_server, Kerberos userreg server",Unofficial,Well-Known,
754,TCP,,tell send,Official,Well-Known,
754,TCP,,"krb5_prop, Kerberos v5 slave propagation",Unofficial,Well-Known,
754,,UDP,tell send,Official,Well-Known,
760,TCP,UDP,"krbupdate [kreg], Kerberos registration",Unofficial,Well-Known,
782,TCP,,Conserver serial-console management server,Unofficial,Well-Known,
783,TCP,,SpamAssassin spamd daemon,Unofficial,Well-Known,
800,TCP,UDP,mdbs-daemon,Official,Well-Known,
808,TCP,,Microsoft Net.TCP Port Sharing Service,Unofficial,Well-Known,
829,TCP,,Certificate Management Protocol,Unofficial,Well-Known,
830,TCP,UDP,NETCONF over SSH,Official,Well-Known,
831,TCP,UDP,NETCONF over BEEP,Official,Well-Known,
832,TCP,UDP,NETCONF for SOAP over HTTPS,Official,Well-Known,
833,TCP,UDP,NETCONF for SOAP over BEEP,Official,Well-Known,
843,TCP,,Adobe Flash,Unofficial,Well-Known,
