Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
10000,,UDP,Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.,Unofficial,Registered,
10001,,UDP,Ubiquiti UniFi access points broadcast to 255.255.255.255:10001 (UDP) to locate the controller(s),Unofficial,Registered,
10001,TCP,,Lantronix UDS-10/UDS100 RS-485 to Ethernet Converter default,Unofficial,Registered,
10003,TCP,,ForeScout SecureConnector[citation needed],Unofficial,Registered,
10008,TCP,UDP,"Octopus Multiplexer, primary port for the CROMP protocol, which provides a platform-independent means for communication of objects across a network",Official,Registered,
10009,TCP,UDP,"Cross Fire, a multiplayer online First Person Shooter[citation needed]",Unofficial,Registered,
10010,TCP,,Open Object Rexx (ooRexx) rxapi daemon,Official,Registered,
10017,,,"AIX, NeXT, HPUX-rexd daemon control[citation needed]",Unofficial,Registered,
10024,TCP,,Zimbra smtp [mta]-to amavis from postfix[citation needed],Unofficial,Registered,
10025,TCP,,Zimbra smtp [mta]-back to postfix from amavis[citation needed],Unofficial,Registered,
10042,TCP,,Mathoid server[citation needed],Unofficial,Registered,
10050,TCP,UDP,Zabbix agent,Official,Registered,
10051,TCP,UDP,Zabbix trapper,Official,Registered,
10080,TCP,,"Touhou fight games (Inmaterial and Missing Power, Scarlet Weather Rhapsody, Hisoutensoku, Ten Desires and Urban Legend in Limbo)",Unofficial,Registered,
10110,TCP,UDP,NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP,Official,Registered,
10172,TCP,,Intuit Quickbooks client,Unofficial,Registered,
10200,TCP,,FRISK Software International's fpscand virus scanning daemon for Unix platforms,Unofficial,Registered,
10200,TCP,,FRISK Software International's f-protd virus scanning daemon for Unix platforms,Unofficial,Registered,
10201-10204,TCP,,FRISK Software International's f-protd virus scanning daemon for Unix platforms,Unofficial,Registered,
10212,TCP,,GE Intelligent Platforms Proficy HMI/SCADA - CIMPLICITY WebView,Official,Registered,
10301,TCP,,AVSystem UMP default device provisioning endpoint[citation needed],Unofficial,Registered,
10302,TCP,,AVSystem UMP default device provisioning endpoint (SSL)[citation needed],Unofficial,Registered,
10308,,,Lock-on: Modern Air Combat[citation needed],Unofficial,Registered,
10480,,,SWAT 4 Dedicated Server[citation needed],Unofficial,Registered,
10505,,UDP,BlueStacks (android simulator) broadcast,Unofficial,Registered,
10514,TCP,UDP,TLS-enabled Rsyslog (default by convention),Unofficial,Registered,
10823,,UDP,Farming Simulator 2011 Default Server[citation needed],Unofficial,Registered,
10891,TCP,,Jungle Disk (this port is opened by the Jungle Disk Monitor service on the localhost)[citation needed],Unofficial,Registered,
10933,TCP,,Listen port used by the Octopus Deploy Tentacle deployment agent,Official,Registered,
11001,TCP,UDP,metasys ( Johnson Controls Metasys java AC control environment ),Official,Registered,
11111,TCP,,"RiCcI, Remote Configuration Interface (Redhat Linux)",Unofficial,Registered,
11112,TCP,UDP,ACR/NEMA Digital Imaging and Communications in Medicine (DICOM),Official,Registered,
11155,TCP,UDP,Tunngle,Unofficial,Registered,
11211,TCP,UDP,memcached,Unofficial,Registered,
11214,TCP,UDP,memcached incoming SSL proxy,Unofficial,Registered,
11215,TCP,UDP,memcached internal outgoing SSL proxy,Unofficial,Registered,
11235,,,Savage:Battle for Newerth Server Hosting[citation needed],Unofficial,Registered,
11294,,,Blood Quest Online Server[citation needed],Unofficial,Registered,
11311,TCP,UDP,Robot Operating System master,Unofficial,Registered,
11371,TCP,UDP,OpenPGP HTTP key server,Official,Registered,
11576,,,IPStor Server management communication,Unofficial,Registered,
11753,TCP,,OpenRCT2 multiplayer[self-published source],Unofficial,Registered,
11950,TCP,,Murraycoin JSON-RPC server,Unofficial,Registered,
11951,TCP,,Murraycoin,Unofficial,Registered,
12007,TCP,,NetCrunch 7 port for connection between NetCrunch 7 Server and Administration Console. This port can be changed ,Unofficial,Registered,
12008,TCP,,NetCrunch default connection broker port ,Unofficial,Registered,
12009,TCP,,NetCrunch 8 port for connection between NetCrunch 8 Server and Administration Console. This port can be changed ,Unofficial,Registered,
12010,TCP,,ElevateDB default database port,Unofficial,Registered,
12011,TCP,,Axence nVision,Unofficial,Registered,
12012,TCP,,Axence nVision,Unofficial,Registered,
12012,TCP,,"Audition Online Dance Battle, Korea Server-Status/Version Check",Unofficial,Registered,
12012,,UDP,"Audition Online Dance Battle, Korea Server-Status/Version Check",Unofficial,Registered,
12013,TCP,UDP,"Audition Online Dance Battle, Korea Server",Unofficial,Registered,
12030,TCP,,NetCrunch - port for connection between NetCrunch Server and NetCrunch Guard ,Unofficial,Registered,
12031,TCP,,Axence nVision,Unofficial,Registered,
12032,TCP,,Axence nVision,Unofficial,Registered,
12035,,UDP,Linden Lab viewer to sim on SecondLife[citation needed],Unofficial,Registered,
12201,,UDP,GELF Protocol,Unofficial,Registered,
12222,,UDP,Light Weight Access Point Protocol (LWAPP) LWAPP data (RFC 5412),Official,Registered,
12223,,UDP,Light Weight Access Point Protocol (LWAPP) LWAPP control (RFC 5412),Official,Registered,
12345,,,"NetBus remote administration tool (often Trojan horse). Also used by NetBuster. Little Fighter 2 (TCP), Cubeworld (TCP and UDP), and (TCP) GVG (Grass Valley Group) SMS7000 and RCL video router control",Unofficial,Registered,
12443,TCP,,IBM HMC web browser management access over HTTPS instead of default port 443,Unofficial,Registered,
12489,TCP,,NSClient/NSClient++/NC_Net (Nagios),Unofficial,Registered,
12975,TCP,,LogMeIn Hamachi (VPN tunnel software; also port 32976)-used to connect to Mediation Server (bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 & 32976 fail to connect,Unofficial,Registered,
12998-12999,,UDP,Takenaka RDI Mirror World on SecondLife[citation needed],Unofficial,Registered,
13001,TCP,,ForeScout CounterACT[citation needed],Unofficial,Registered,
13000-13050,,UDP,Linden Lab viewer to sim on SecondLife[citation needed],Unofficial,Registered,
13008,TCP,UDP,"Cross Fire, a multiplayer online First Person Shooter[citation needed]",Unofficial,Registered,
13075,TCP,,"Default for BMC Software Control-M/Enterprise Manager Corba communication, though often changed during installation",Official,Registered,
13195-13196,TCP,UDP,Ontolux Ontolux 2D,Unofficial,Registered,
13337-13340,TCP,UDP,ÆtherNet peer-to-peer networking[citation needed],Unofficial,Registered,
13720,TCP,UDP,Symantec NetBackup-bprd (formerly VERITAS),Official,Registered,
13721,TCP,UDP,Symantec NetBackup-bpdbm (formerly VERITAS),Official,Registered,
13724,TCP,UDP,Symantec Network Utility-vnetd (formerly VERITAS),Official,Registered,
13782,TCP,UDP,Symantec NetBackup-bpcd (formerly VERITAS),Official,Registered,
13783,TCP,UDP,Symantec VOPIED protocol (formerly VERITAS),Official,Registered,
13785,TCP,UDP,Symantec NetBackup Database-nbdb (formerly VERITAS),Official,Registered,
13786,TCP,UDP,Symantec nomdb (formerly VERITAS),Official,Registered,
14439,TCP,,APRS UI-View Amateur Radio UI-WebServer,Unofficial,Registered,
14550,,UDP,MAVLink,Unofficial,Registered,
14567,,UDP,Battlefield 1942 and mods,Unofficial,Registered,
14900,TCP,,K3 SYSPRO K3 Framework WCF Backbone[citation needed],Unofficial,Registered,
15000,TCP,,psyBNC,Unofficial,Registered,
15000,TCP,,Wesnoth,Unofficial,Registered,
15000,TCP,,Kaspersky Network Agent[citation needed],Unofficial,Registered,
15000,TCP,UDP,"hydap, Hypack Hydrographic Software Packages Data Acquisition",Official,Registered,
15556,TCP,UDP,Jeex.EU Artesia (direct client-to-db.service),Official,Registered,
15567,,UDP,Battlefield Vietnam and mods,Unofficial,Registered,
15345,TCP,UDP,XPilot Contact,Official,Registered,
16000,TCP,,Oracle WebCenter Content: Imaging (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial,Registered,
16000,TCP,,shroudBNC,Unofficial,Registered,
16080,TCP,,Mac OS X Server Web (HTTP) service with performance cache,Unofficial,Registered,
16200,TCP,,Oracle WebCenter Content: Content Server (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial,Registered,
16225,TCP,,Oracle WebCenter Content: Content Server Web UI. Port though often changed during installation,Unofficial,Registered,
16250,TCP,,Oracle WebCenter Content: Inbound Refinery (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial,Registered,
16261,TCP,UDP,Project Zomboid Multiplayer Server: Additional sequential ports used for each player connecting to server,Unofficial,Registered,
16300,TCP,,Oracle WebCenter Content: Records Management (formerly known as Oracle Universal Records Management). Port though often changed during installation,Unofficial,Registered,
16384,,UDP,CISCO Default RTP MIN,Unofficial,Registered,
16384-16387,,UDP,"Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's iChat for audio and video",Unofficial,Registered,
16384-16387,,UDP,"Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's FaceTime and Game Center",Unofficial,Registered,
16393-16402,,UDP,"Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's FaceTime and Game Center",Unofficial,Registered,
16403-16472,,UDP,"Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's Game Center",Unofficial,Registered,
16400,TCP,,Oracle WebCenter Content: Capture (formerly known as Oracle Document Capture). Port though often changed during installation,Unofficial,Registered,
16482,,,CISCO Default RTP MAX,Official,Registered,
16567,,UDP,Battlefield 2 and mods,Unofficial,Registered,
17011,TCP,,Worms multiplayer,Unofficial,Registered,
17500,TCP,UDP,Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on a local network.,Official,Registered,
18010,TCP,,Super Dancer Online Extreme(SDO-X)-CiB Net Station Malaysia Server[citation needed],Unofficial,Registered,
18091,TCP,UDP,memcached Internal REST HTTPS for SSL,Unofficial,Registered,
18092,TCP,UDP,memcached Internal CAPI HTTPS for SSL,Unofficial,Registered,
18104,TCP,,RAD PDF Service,Official,Registered,
18180,TCP,,DART Reporting server[citation needed],Unofficial,Registered,
18200,TCP,UDP,"Audition Online Dance Battle, AsiaSoft Thailand Server status/version check",Unofficial,Registered,
18201,TCP,UDP,"Audition Online Dance Battle, AsiaSoft Thailand Server",Unofficial,Registered,
18206,TCP,UDP,"Audition Online Dance Battle, AsiaSoft Thailand Server FAM database",Unofficial,Registered,
18300,TCP,UDP,"Audition Online Dance Battle, AsiaSoft SEA Server status/version check",Unofficial,Registered,
18301,TCP,UDP,"Audition Online Dance Battle, AsiaSoft SEA Server",Unofficial,Registered,
18306,TCP,UDP,"Audition Online Dance Battle, AsiaSoft SEA Server FAM database",Unofficial,Registered,
18333,TCP,,Bitcoin testnet,Unofficial,Registered,
18400,TCP,UDP,"Audition Online Dance Battle, KAIZEN Brazil Server status/version check",Unofficial,Registered,
18401,TCP,UDP,"Audition Online Dance Battle, KAIZEN Brazil Server",Unofficial,Registered,
18505,TCP,UDP,"Audition Online Dance Battle R4p3 Server, Nexon Server status/version check",Unofficial,Registered,
18506,TCP,UDP,"Audition Online Dance Battle, Nexon Server",Unofficial,Registered,
18605,TCP,UDP,X-BEAT status/version check,Unofficial,Registered,
18606,TCP,UDP,X-BEAT,Unofficial,Registered,
19000,TCP,UDP,"Audition Online Dance Battle, G10/alaplaya Server status/version check",Unofficial,Registered,
19000,,UDP,JACK sound server,Unofficial,Registered,
19001,TCP,UDP,"Audition Online Dance Battle, G10/alaplaya Server",Unofficial,Registered,
19007,TCP,UDP,Veejansh Inc. Scintilla Device Service,Official,Registered,
19132,,UDP,Standard Minecraft Pocket Edition Multiplayer Server Port,Unofficial,Registered,
19150,TCP,UDP,Gkrellm Server,Unofficial,Registered,
19226,TCP,,Panda Software AdminSecure Communication Agent,Unofficial,Registered,
19283,TCP,UDP,"K2-KeyAuditor & KeyServer, Sassafras Software Inc. Software Asset Management tools",Official,Registered,
19294,TCP,,Google Talk Voice and Video connections,Unofficial,Registered,
19295,,UDP,Google Talk Voice and Video connections,Unofficial,Registered,
19302,,UDP,Google Talk Voice and Video connections,Unofficial,Registered,
19315,TCP,UDP,"KeyShadow for K2-KeyAuditor & KeyServer, Sassafras Software Inc. Software Asset Management tools",Official,Registered,
19540,TCP,,Gamecoin RCP[citation needed],Unofficial,Registered,
19540,TCP,,Gamecoin Testnet[citation needed],Unofficial,Registered,
19540,TCP,,Gamecoin P2P[citation needed],Unofficial,Registered,
19540,TCP,UDP,Belkin Network USB Hub[citation needed],Unofficial,Registered,
19638,TCP,,Ensim Control Panel[citation needed],Unofficial,Registered,
19812,TCP,,4D database SQL Communication,Official,Registered,
19813,TCP,UDP,4D database Client Server Communication,Official,Registered,
19814,TCP,,4D database DB4D Communication,Official,Registered,
19999,,,"Distributed Network Protocol-Secure (DNP-Secure), a secure version of the protocol used in SCADA systems between communicating RTU's and IED's",Official,Registered,
20000,,,"Distributed Network Protocol (DNP), a protocol used in SCADA systems between communicating RTU's and IED's",Official,Registered,
20000,,,"Usermin, Web-based Unix/Linux user administration tool (default port)",Unofficial,Registered,
20000,,UDP,Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.,Unofficial,Registered,
20202,TCP,,OnNet (Net2E),Unofficial,Registered,
20014,TCP,,DART Reporting server[citation needed],Unofficial,Registered,
20560,TCP,UDP,Killing Floor,Unofficial,Registered,
20595,,UDP,0 A.D. Empires Ascendant,Unofficial,Registered,
20702,TCP,,Precise TPM Listener Agent,Unofficial,Registered,
20720,TCP,,Symantec i3 Web GUI server,Unofficial,Registered,
20790,TCP,,Precise TPM Web GUI server,Unofficial,Registered,
20808,UDP,,Ableton Link,Unofficial,Registered,
21025,TCP,,"Starbound Server (default), Starbound",Unofficial,Registered,
22000,TCP,,Syncthing (default),Unofficial,Registered,
22136,TCP,,FLIR Systems Camera Resource Protocol,Unofficial,Registered,
22222,TCP,,"Davis Instruments, WeatherLink IP",Unofficial,Registered,
22347,TCP,UDP,"WibuKey, Software protection system",Official,Registered,
22349,TCP,,Wolfson Microelectronics WISCEBridge Debug Protocol,Unofficial,Registered,
22350,TCP,UDP,"CodeMeter, WIBU-SYSTEMS AG Software protection system",Official,Registered,
23073,,,Soldat Dedicated Server,Unofficial,Registered,
23284,,,TimeTracker by Openhour,Official,Registered,
23399,,,Skype default protocol,Unofficial,Registered,
23513,,,Duke Nukem 3D#Source code Duke Nukem Ports,Unofficial,Registered,
24441,TCP,UDP,Pyzor spam detection network,Unofficial,Registered,
24444,,,NetBeans integrated development environment,Unofficial,Registered,
24465,TCP,UDP,Tonido Directory Server for Tonido which is a Personal Web App and P2P platform,Official,Registered,
24554,TCP,UDP,"BINKP, Fidonet mail transfers over TCP/IP",Official,Registered,
24800,,,Synergy: keyboard/mouse sharing software,Unofficial,Registered,
24842,,,StepMania: Online: Dance Dance Revolution Simulator,Unofficial,Registered,
25000,TCP,,Teamware Office standard client connection,Official,Registered,
25001,TCP,,Default port for Unity3D networking,Official,Registered,
25003,TCP,,Teamware Office client notifier,Official,Registered,
25005,TCP,,Teamware Office message transfer,Official,Registered,
25007,TCP,,Teamware Office MIME Connector,Official,Registered,
25008,TCP,,Jayson's Water Fun Connector,Unofficial,Registered,
25010,TCP,,Teamware Office Agent server,Official,Registered,
25105,TCP,,Default port for Insteon Hub,Unofficial,Registered,
25560,TCP,,codeheart.js Relay Server,Unofficial,Registered,
25565,TCP,N/A,Standard Minecraft (Dedicated) Server,Unofficial,Registered,
25565,,,MySQL database system,Unofficial,Registered,
25570,,,Manic Digger default single player port,Unofficial,Registered,
25826,,UDP,collectd default port,Unofficial,Registered,
25828-25840,TCP,UDP,DarknessBlade Network.,Unofficial,Registered,
25888,,UDP,"Xfire (Firewall Report, UDP_IN) IP Address (206.220.40.146) resolves to gameservertracking.xfire.com. Use unknown.",Unofficial,Registered,
25999,TCP,,Xfire,Unofficial,Registered,
26000,TCP,UDP,id Software's Quake server,Official,Registered,
26000,TCP,,CCP's EVE Online Online gaming MMORPG,Unofficial,Registered,
26000,,UDP,"Xonotic, an open source arena shooter",Unofficial,Registered,
26850,TCP,,War of No Return Server Port[citation needed],Unofficial,Registered,
26900-26901,TCP,,CCP's EVE Online Online gaming MMORPG,Unofficial,Registered,
26950,TCP,UDP,GIMA Productions,Unofficial,Registered,
27000-27030,,UDP,"Steam, client",Unofficial,Registered,
27000,,UDP,(through 27006) id Software's QuakeWorld master server,Unofficial,Registered,
27000,TCP,,PowerBuilder SySAM license server,Unofficial,Registered,
27000-27009,TCP,UDP,FlexNet Publisher's License server (from the range of default ports),Official,Registered,
27014-27050,TCP,,"Steam, file downloads",Unofficial,Registered,
27015,,UDP,GoldSrc and Source engine dedicated server port,Unofficial,Registered,
27016,,,Magicka server port,Unofficial,Registered,
27017,,,MongoDB server port,Unofficial,Registered,
27031-27036,,UDP,"Steam, In-Home Streaming (LAN only)",Unofficial,Registered,
27374,,,Sub7 default.,Unofficial,Registered,
27500-27900,,UDP,id Software's QuakeWorld,Unofficial,Registered,
27888,,UDP,Kaillera server,Unofficial,Registered,
27900-27901,,,Nintendo Wi-Fi Connection,Unofficial,Registered,
27901-27910,,UDP,id Software's Quake II master server,Unofficial,Registered,
27950,,UDP,OpenArena outgoing,Unofficial,Registered,
27960-27969,,UDP,"Activision's Enemy Territory and id Software's Quake III Arena, Quake III and Quake Live and some ioquake3 derived games, such as Urban Terror (OpenArena incoming)",Unofficial,Registered,
28000,,,Bitfighter Common/default Bitfighter Server,Unofficial,Registered,
28001,,,Starsiege: Tribes Common/default Tribes v.1 Server,Unofficial,Registered,
28015,,UDP,default Rust Server,Unofficial,Registered,
28016,,UDP,default Rust remote connect Server,Unofficial,Registered,
28770,,UDP,AssaultCube Reloaded default server port,Unofficial,Registered,
28771,,UDP,AssaultCube Reloaded default server info port,Unofficial,Registered,
28785,,UDP,Cube 2 Sauerbraten,Unofficial,Registered,
28786,,UDP,Cube 2 Sauerbraten Port 2,Unofficial,Registered,
28801-28802,,UDP,Red Eclipse (Cube 2 derivative) default ports,Unofficial,Registered,
28852,TCP,UDP,Killing Floor,Unofficial,Registered,
28910,,,Nintendo Wi-Fi Connection,Unofficial,Registered,
28960,,UDP,Call of Duty; Call of Duty: United Offensive; Call of Duty 2; Call of Duty 4: Modern Warfare; Call of Duty: World at War (PC Version),Unofficial,Registered,
29000,,,Perfect World International Used by the Perfect World International Client,Unofficial,Registered,
29070,TCP,UDP,"Game titled ""Jedi Knight: Jedi Academy"" by Ravensoft",Unofficial,Registered,
29292,TCP,,"TMO Integration Service Communications Port, Used by Transaction Manager SaaS (HighJump Software)[citation needed]",Unofficial,Registered,
29900-29901,,,Nintendo Wi-Fi Connection,Unofficial,Registered,
29920,,,Nintendo Wi-Fi Connection,Unofficial,Registered,
30564,TCP,,Multiplicity: keyboard/mouse/clipboard sharing software[citation needed],Unofficial,Registered,
31337,TCP,,Back Orifice remote administration tool[citation needed],Unofficial,Registered,
31416,?,?,BOINC RPC,Unofficial,Registered,
31438,TCP,,Rocket U2[self-published source?],Unofficial,Registered,
31457,TCP,,TetriNET,Official,Registered,
32137,TCP,UDP,"Immunet Protect (UDP in version 2.0, TCP since version 3.0)",Unofficial,Registered,
32400,TCP,,Plex Media Server,Official,Registered,
32764,TCP,,"A backdoor found on certain Linksys, Netgear and other wireless DSL modems/combination routers",Unofficial,Registered,
32887,TCP,,"Ace of Spades, a multiplayer FPS video game[citation needed]",Unofficial,Registered,
32976,TCP,,"LogMeIn Hamachi, a VPN application; also TCP port 12975 and SSL (TCP 443).",Unofficial,Registered,
33434,TCP,UDP,traceroute,Official,Registered,
33848,,UDP,"Jenkins, a continuous integration (CI) tool[unreliable source?]",Unofficial,Registered,
34000,,UDP,"Infestation: Survivor Stories (formerly known as The War Z), a multiplayer zombie video game[verification needed]",Unofficial,Registered,
35357,TCP,,OpenStack Identity (Keystone) administration[self-published source?],Official,Registered,
40000,TCP,UDP,SafetyNET p - a real-time Industrial Ethernet protocol,Official,Registered,
43594-43595,?,?,RuneScape,Unofficial,Registered,
44405,TCP,,Mu Online Connect Server[citation needed],Unofficial,Registered,
44818,TCP,UDP,EtherNet/IP explicit messaging,Official,Registered,
47001,TCP,,"Windows Remote Management Service (WinRM), is an HTTP based remote management and shell protocol for Windows. The Windows Remote Management Service is responsible for this functionality. If WinRM is not configured for remote access, but the service is started, it listens for local requests on TCP port 47001. If you create listener it will still listen on 47001, but also on the default TCP ports 5985 (HTTP) and 5986 (HTTPS).",Official,Registered,
47808,TCP,UDP,BACnet Building Automation and Control Networks (4780810 = BAC016),Official,Registered,
49151,TCP,UDP,Reserved,Official,Registered,
49152-65535,TCP,UDP,"The range contains dynamic ports that cannot be registered with IANA. This range is used for private, or customized services or temporary purposes and for automatic allocation of ephemeral ports.",Official,Ephemeral / Dynamic,
