"Name","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"svchost","844","844","C:\Windows\system32\svchost.exe","5/24/2020 8:41:24 PM","19734528","2312","1580","31","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","880","880","C:\Windows\system32\svchost.exe","5/24/2020 8:41:24 PM","6045696","2356","507","19","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","952","952","C:\Windows\System32\svchost.exe","5/24/2020 8:41:25 PM","11804672","2400","376","16","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","1020","1020","C:\Windows\system32\svchost.exe","5/24/2020 8:41:28 PM","9793536","2444","468","22","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","1604","1604","C:\Windows\system32\svchost.exe","5/24/2020 8:41:36 PM","745472","2488","264","14","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","1948","1948","C:\Windows\system32\svchost.exe","5/24/2020 8:41:40 PM","1032192","2532","99","3","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","2188","2188","C:\Windows\system32\svchost.exe","5/24/2020 8:43:44 PM","1769472","2576","238","6","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","2292","2292","C:\Windows\System32\svchost.exe","5/25/2020 5:22:05 AM","237568","2620","85","2","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"System","4","4",,"5/24/2020 8:41:13 PM","495616",,"642","116",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"taskhost","2708","2708","C:\Windows\system32\taskhost.exe","5/24/2020 8:56:27 PM","9003008","2704","469","9","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Tasks","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"VSSVC","1864","1864","C:\Windows\system32\vssvc.exe","5/24/2020 8:41:39 PM","266240","2748","116","2","Microsoft Corporation","Microsoft? Windows? Operating System","Microsoft? Volume Shadow Copy Service","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"wininit","456","456","C:\Windows\system32\wininit.exe","5/24/2020 8:41:20 PM","69632","2792","75","1","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Start-Up Application","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"winlogon","484","484","C:\Windows\system32\winlogon.exe","5/24/2020 8:41:20 PM","106496","2836","119","3","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon Application","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"wmpnetwk","2000","2000","C:\Program Files\Windows Media Player\wmpnetwk.exe","5/24/2020 8:43:44 PM","1323008","2880","364","7","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Media Player Network Sharing Service","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"wsmprovhost","2396","2396","C:\Windows\system32\wsmprovhost.exe","5/27/2020 1:15:41 PM","60059648","2956","372","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host process for WinRM plug-ins","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"csrss","404","404",,"5/24/2020 9:50:47 PM","1204224",,"230","9",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"csrss","456","456",,"5/24/2020 9:50:48 PM","380928",,"90","9",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"dllhost","1100","1100","C:\Windows\system32\DllHost.exe","5/27/2020 1:15:41 PM","3706880","1620","97","6","Microsoft Corporation","Microsoft? Windows? Operating System","COM Surrogate","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"dwm","764","764","C:\Windows\system32\dwm.exe","5/24/2020 9:50:52 PM","1495040","1664","179","7","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"Idle","0","0",,,"4096",,"0","1",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"LogonUI","744","744","C:\Windows\system32\LogonUI.exe","5/24/2020 9:50:51 PM","6672384","1748","371","10","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"lsass","560","560","C:\Windows\system32\lsass.exe","5/24/2020 9:50:49 PM","5423104","1792","750","6","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"MsMpEng","1224","1224",,"5/24/2020 9:50:55 PM","32145408",,"494","15",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"SearchFilterHost","1516","1516","C:\Windows\system32\SearchFilterHost.exe","5/27/2020 1:14:25 PM","4026368","1876","100","3","Microsoft Corporation","Windows? Search","Microsoft Windows Search Filter Host","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"SearchIndexer","3048","3048","C:\Windows\system32\SearchIndexer.exe","5/24/2020 9:52:56 PM","9871360","1920","597","12","Microsoft Corporation","Windows? Search","Microsoft Windows Search Indexer","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"SearchProtocolHost","2352","2352","C:\Windows\system32\SearchProtocolHost.exe","5/27/2020 1:12:14 PM","6844416","1964","304","6","Microsoft Corporation","Windows? Search","Microsoft Windows Search Protocol Host","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"services","552","552",,"5/24/2020 9:50:49 PM","4505600",,"206","1",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"smss","316","316",,"5/24/2020 9:50:44 PM","192512",,"44","2",,,,"Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"spoolsv","1012","1012","C:\Windows\System32\spoolsv.exe","5/24/2020 9:50:53 PM","1589248","2092","340","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"svchost","356","356","C:\Windows\system32\svchost.exe","5/24/2020 9:50:52 PM","10108928","2136","816","27","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"svchost","372","372","C:\Windows\system32\svchost.exe","5/24/2020 9:50:53 PM","9744384","2180","476","22","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
"svchost","616","616","C:\Windows\system32\svchost.exe","5/24/2020 9:50:51 PM","3952640","2224","348","8","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-09","fdb7189d-bf56-4f06-93b3-a1895e7f9aad","True"
